id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56404,JIWA,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,95196,JIWA,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,66649,JIWA,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,88000,JIWA,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,18867,JIWA,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,127589,JIWA,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,61285,JIWA,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,21943,JIWA,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,26407,JIWA,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,123804,JIWA,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,69516,JIWA,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,39368,JIWA,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,31393,JIWA,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,13525,JIWA,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,306851,JIWA,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,133843,JIWA,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,138875,JIWA,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,137205,JIWA,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,131487,JIWA,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57317,JIWA,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69516,JIWA,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,183505,JIWA,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,57917,JIWA,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,152757,JIWA,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,103072,JIWA,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,59069,JIWA,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,132502,JIWA,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56343,JIWA,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,92857,JIWA,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,64669,JIWA,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,85329,JIWA,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22150,JIWA,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,120984,JIWA,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,59077,JIWA,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,20556,JIWA,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,26030,JIWA,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,124179,JIWA,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,72208,JIWA,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,37764,JIWA,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30188,JIWA,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,13550,JIWA,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,305914,JIWA,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,133434,JIWA,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,138451,JIWA,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,136786,JIWA,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,131086,JIWA,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57142,JIWA,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69304,JIWA,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,182945,JIWA,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,57740,JIWA,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,152291,JIWA,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,102757,JIWA,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,58889,JIWA,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,132098,JIWA,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56171,JIWA,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,92574,JIWA,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,64472,JIWA,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,85069,JIWA,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22082,JIWA,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,120615,JIWA,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,58897,JIWA,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,20493,JIWA,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,25951,JIWA,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,123800,JIWA,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,71988,JIWA,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,37649,JIWA,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30096,JIWA,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,13506,JIWA,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,71177,JIWA,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,34068,JIWA,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,26262,JIWA,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51140,JIWA,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,40994,JIWA,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,24201,JIWA,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15846,JIWA,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16968,JIWA,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,20617,JIWA,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16904,JIWA,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16082,JIWA,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17182,JIWA,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,21437,JIWA,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14674,JIWA,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26312,JIWA,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,47584,JIWA,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,23995,JIWA,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4192,JIWA,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,17037,JIWA,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,6570,JIWA,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,51940,JIWA,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,9794,JIWA,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,37833,JIWA,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,26219,JIWA,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,9064,JIWA,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13970,JIWA,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,3061,JIWA,2024
