id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2017/2018
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,142,UNIT,2017/2018
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2017/2018
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,147,UNIT,2017/2018
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2017/2018
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,124,UNIT,2017/2018
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,14,UNIT,2017/2018
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,157,UNIT,2017/2018
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,13,UNIT,2017/2018
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,121,UNIT,2017/2018
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,7,UNIT,2017/2018
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,54,UNIT,2017/2018
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,9,UNIT,2017/2018
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,36,UNIT,2017/2018
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,7,UNIT,2017/2018
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,100,UNIT,2017/2018
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2017/2018
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2017/2018
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7,UNIT,2017/2018
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,81,UNIT,2017/2018
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2017/2018
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,119,UNIT,2017/2018
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2017/2018
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,88,UNIT,2017/2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15,UNIT,2017/2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,43,UNIT,2017/2018
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,18,UNIT,2017/2018
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,90,UNIT,2017/2018
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,13,UNIT,2017/2018
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,167,UNIT,2017/2018
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,9,UNIT,2017/2018
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,91,UNIT,2017/2018
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2017/2018
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,26,UNIT,2017/2018
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,5,UNIT,2017/2018
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,96,UNIT,2017/2018
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,4,UNIT,2017/2018
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,28,UNIT,2017/2018
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,16,UNIT,2017/2018
